time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/loss
38,-887.5,1090,200.0,8,9728,-0.010711681935936213,500.21001892089845,0.033984375,0.3,-1.8715858459472656e-05,0.0003,0.023929058,370,-1.69132439494133,236.87738037109375
39,-876.734693877551,1090,200.0,9,9984,-0.007442528661340475,285.816024017334,0.00625,0.3,-9.655952453613281e-06,0.0003,0.0073642004,380,-1.582921290397644,139.65219116210938
40,-860.7843137254902,1089,200.0,9,10240,-0.00640675202012062,469.68114776611327,0.0,0.3,-3.8743019104003906e-05,0.0003,0.009853352,390,-1.6158237993717193,271.5072021484375
1,-610.0,1333,200.0,0,256,-0.011322399182245136,361.0397674560547,0.088671875,0.3,-5.125999450683594e-06,0.0003,0.034295022,400,-1.6957895934581757,155.21994018554688
2,-575.0,1193,200.0,0,512,-0.009742191713303327,558.8562698364258,0.0,0.3,-4.5180320739746094e-05,0.0003,0.006504832,410,-1.8538401544094085,238.8947296142578
3,-550.0,1156,200.0,0,768,-0.007645423011854291,577.9223281860352,0.0,0.3,-5.9604644775390625e-06,0.0003,0.012148959,420,-1.8575869500637054,273.75799560546875
4,-524.0,1130,200.0,0,1024,-0.01883748876862228,244.24868698120116,0.08046875,0.3,1.823902130126953e-05,0.0003,0.034525577,430,-1.9485397040843964,119.09532928466797
5,-511.6666666666667,1105,200.0,1,1280,-0.008579388726502657,488.17953033447264,0.00390625,0.3,1.7881393432617188e-07,0.0003,0.006413916,440,-1.9309307992458344,268.5234069824219
6,-501.42857142857144,1106,200.0,1,1536,-0.015856492053717374,347.7229705810547,0.079296875,0.3,1.0073184967041016e-05,0.0003,0.021657731,450,-1.9043963968753814,177.1156768798828
7,-478.75,1092,200.0,1,1792,-0.0187674873508513,900.3907775878906,0.08828125,0.3,-1.1801719665527344e-05,0.0003,0.03020189,460,-1.8477811694145203,408.54656982421875
8,-496.0,1089,200.0,1,2048,-0.004992535570636392,411.64744262695314,0.0,0.3,-7.3909759521484375e-06,0.0003,0.006026374,470,-1.786403238773346,231.60684204101562
9,-499.09090909090907,1089,200.0,2,2304,-0.008474349929019808,965.3542388916015,0.0,0.3,-4.291534423828125e-06,0.0003,0.013814308,480,-1.7177757024765015,566.239501953125
10,-493.3333333333333,1094,200.0,2,2560,-0.020485743042081596,169.4625373840332,0.042578125,0.3,-9.059906005859375e-06,0.0003,0.021196302,490,-1.5408209979534149,88.76219940185547
11,-476.42857142857144,1089,200.0,2,2816,-0.019067610427737237,233.8594062805176,0.090234375,0.3,6.377696990966797e-06,0.0003,0.033609375,500,-1.3531843900680542,147.684326171875
12,-472.6666666666667,1093,200.0,2,3072,-0.007284489320591092,347.78627700805663,0.04453125,0.3,-3.5762786865234375e-06,0.0003,0.025160365,510,-1.140343052148819,133.21653747558594
13,-462.5,1094,200.0,3,3328,-0.005492195812985301,260.6954086303711,0.0,0.3,-9.5367431640625e-07,0.0003,0.0083302595,520,-1.0187326520681381,157.65245056152344
14,-464.70588235294116,1094,200.0,3,3584,-0.004948325222358108,113.22522277832032,0.004296875,0.3,4.291534423828125e-06,0.0003,0.0042477846,530,-0.8912800788879395,63.255374908447266
15,-456.8421052631579,1091,200.0,3,3840,-0.012235496938228608,74.64983024597169,0.005078125,0.3,9.5367431640625e-06,0.0003,0.013048028,540,-0.7664607167243958,38.96887969970703
16,-460.5,1089,200.0,3,4096,-0.014155038655735553,209.50073204040527,0.09453125,0.3,7.033348083496094e-06,0.0003,0.02437685,550,-0.5538473263382911,86.48116302490234
17,-455.7142857142857,1085,200.0,4,4352,-0.011032485985197127,255.63934097290038,0.019921875,0.3,7.033348083496094e-06,0.0003,0.006036124,560,-0.5273162484169006,129.70655822753906
18,-446.95652173913044,1087,200.0,4,4608,-0.003248079470358789,227.237255859375,0.00078125,0.3,-3.337860107421875e-06,0.0003,0.0026462064,570,-0.5477619528770447,95.56808471679688
19,-447.9166666666667,1090,200.0,4,4864,-0.0024224195396527646,260.44513778686525,0.004296875,0.3,-7.867813110351562e-06,0.0003,0.002209753,580,-0.5007978975772858,121.30498504638672
20,-443.2,1087,200.0,4,5120,-0.0032401262782514096,150.45261631011962,0.037109375,0.3,1.4543533325195312e-05,0.0003,0.0066349083,590,-0.5427515715360641,73.13203430175781
21,-438.0769230769231,1089,200.0,4,5376,-0.00424194815568626,147.54771575927734,0.061328125,0.3,1.4901161193847656e-05,0.0003,0.012630211,600,-0.6474593311548233,90.96585845947266
22,-430.0,1089,200.0,5,5632,-0.01106752995401621,139.08464431762695,0.05234375,0.3,8.106231689453125e-06,0.0003,0.018269792,610,-0.5992944955825805,105.46630096435547
23,-425.86206896551727,1092,200.0,5,5888,-0.0011905806604772806,303.52673797607423,0.0,0.3,8.881092071533203e-06,0.0003,0.0009609957,620,-0.5212780803442001,129.80245971679688
24,-422.0,1093,200.0,5,6144,-0.004045111802406609,144.8299207687378,0.03984375,0.3,1.1265277862548828e-05,0.0003,0.008216864,630,-0.569908618927002,116.26615142822266
