time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
1,1280,5,200.0,-88.33333333333333,1139,56.50691604614258,-0.004365495638921857,-0.08982789516448975,0.0003,180.4061309814453,-2.2869710683822633,0.0,440,0.3,0.004538197
1,1536,6,200.0,-117.14285714285714,1135,327.99993896484375,-0.00954174604266882,0.030283808708190918,0.0003,479.5429817199707,-2.0659816026687623,0.030078125,450,0.3,0.018300176
1,1792,7,200.0,-107.5,1131,83.52120971679688,-0.0058833018876612185,0.0960543155670166,0.0003,385.12368965148926,-2.112989091873169,0.00546875,460,0.3,0.005016732
1,2048,8,200.0,-116.0,1126,13.97396183013916,-0.005777144664898514,-0.10802900791168213,0.0003,104.49477672576904,-2.133218216896057,0.00078125,470,0.3,0.009222443
2,2304,9,200.0,-110.9090909090909,1112,156.07505798339844,-0.004603694519028067,0.1771106719970703,0.0003,438.33178329467773,-2.0514910936355593,0.003515625,480,0.3,0.00449506
2,2560,10,200.0,-108.33333333333333,1111,276.6032409667969,-0.009553734399378299,0.05650687217712402,0.0003,499.93544616699216,-2.1968937277793885,0.002734375,490,0.3,0.004886971
2,2816,11,200.0,-101.42857142857143,1102,429.815185546875,-0.004838634980842471,0.14455759525299072,0.0003,703.7437942504882,-2.102854812145233,0.001953125,500,0.3,0.004977526
2,3072,12,200.0,-104.0,1103,316.49786376953125,-0.0043545655440539125,-0.03685140609741211,0.0003,1049.4197860717773,-2.192240762710571,0.000390625,510,0.3,0.0027325917
3,3328,13,200.0,-118.75,1108,145.9450225830078,-0.010021725436672568,-0.08315420150756836,0.0003,627.8698150634766,-2.1017853736877443,0.009375,520,0.3,0.008247257
3,3584,14,200.0,-103.52941176470588,1108,59.10203552246094,-0.003965278225950897,0.06816112995147705,0.0003,148.10700187683105,-2.060828447341919,0.001171875,530,0.3,0.0028360132
3,3840,15,200.0,-102.63157894736842,1106,409.30084228515625,-0.013048955739941448,0.04872637987136841,0.0003,1135.4720184326172,-2.233101963996887,0.099609375,540,0.3,0.034093175
3,4096,16,200.0,-88.0,1104,318.3136901855469,-0.003172257309779525,0.07080572843551636,0.0003,491.4992416381836,-2.1764312267303465,0.0,550,0.3,0.0020931717
3,4352,17,200.0,-89.52380952380952,1105,353.2099914550781,-0.01845012160483748,0.08407330513000488,0.0003,757.2076858520508,-2.1356937527656554,0.0390625,560,0.3,0.023799507
4,4608,18,200.0,-105.21739130434783,1097,214.66116333007812,-0.016450185771100224,0.16852599382400513,0.0003,386.23412857055666,-2.05965017080307,0.0171875,570,0.3,0.007895937
4,4864,19,200.0,-96.66666666666667,1090,312.1330261230469,-0.001249976782128215,-0.0159151554107666,0.0003,687.3470138549804,-2.276315689086914,0.005078125,580,0.3,0.0076865116
4,5120,20,200.0,-99.2,1093,591.0327758789062,-0.008971014618873596,0.05205416679382324,0.0003,948.4786560058594,-1.9414504051208497,0.006640625,590,0.3,0.008700133
4,5376,21,200.0,-101.15384615384616,1093,650.8659057617188,-0.010617358051240445,-0.03956258296966553,0.0003,932.1095413208008,-1.9749303698539733,0.00625,600,0.3,0.0071374946
5,5632,22,200.0,-101.07142857142857,1092,233.0524444580078,-0.005212649260647595,0.06909078359603882,0.0003,478.7896392822266,-2.0954753756523132,0.0,610,0.3,0.0026848998
5,5888,23,200.0,-94.48275862068965,1093,351.8408508300781,-0.00649200570769608,0.07116430997848511,0.0003,478.37567443847655,-1.8869051814079285,0.0,620,0.3,0.0027917253
5,6144,24,200.0,-88.66666666666667,1093,612.57763671875,-0.0050000255461782215,0.008640527725219727,0.0003,942.7515975952149,-2.222964310646057,0.00234375,630,0.3,0.005529656
5,6400,25,200.0,-88.125,1094,548.0401611328125,-0.008574275206774474,0.05522358417510986,0.0003,1164.6358581542968,-2.1083314180374146,0.01640625,640,0.3,0.011412464
6,6656,26,200.0,-87.27272727272727,1094,223.9682159423828,-0.01670964346267283,0.08564072847366333,0.0003,424.1252017974854,-2.225633907318115,0.0671875,650,0.3,0.03771554
6,6912,27,200.0,-83.23529411764706,1096,286.3600158691406,-0.0062240565894171596,0.13566386699676514,0.0003,482.65474090576174,-2.012672710418701,0.002734375,660,0.3,0.004563789
6,7168,28,200.0,-89.71428571428571,1095,181.47959899902344,-0.00266652493737638,0.13949167728424072,0.0003,788.1627166748046,-2.1192041516304014,0.00390625,670,0.3,0.006594103
6,7424,29,200.0,-89.72972972972973,1092,54.372554779052734,-0.0063258321533794515,0.07369929552078247,0.0003,118.41555080413818,-1.961507898569107,0.00234375,680,0.3,0.007653229
7,7680,30,200.0,-96.84210526315789,1092,410.77606201171875,-0.00963329104706645,0.06197434663772583,0.0003,858.2758422851563,-2.057959282398224,0.028125,690,0.3,0.011833842
