rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
-1236.595744680851,1070,37,8,9472,200.0,0.039453125,8.016824722290039e-05,0.3,38.79957962036133,-0.0087222459143959,360,0.012359038,57.66464691162109,0.0003,-0.6826633185148239
-1219.1666666666667,1071,38,9,9728,200.0,0.10546875,2.5212764739990234e-05,0.3,10.85754108428955,-0.013120505306869746,370,0.020103272,20.784420871734618,0.0003,-0.8083555400371552
-1202.4489795918366,1070,39,9,9984,200.0,0.215625,5.21540641784668e-05,0.3,2.063464641571045,-0.013214798597618937,380,0.06913598,4.47167809009552,0.0003,-0.6852755218744278
-1174.313725490196,1070,40,9,10240,200.0,0.011328125,4.744529724121094e-05,0.3,25.853546142578125,-0.005011317878961563,390,0.008313655,63.473016834259035,0.0003,-0.6554397702217102
-360.0,1418,1,0,256,200.0,0.002734375,-4.172325134277344e-05,0.3,36.78036117553711,-0.0014461326529271901,400,0.0011985281,92.90257396697999,0.0003,-0.7148332178592682
-405.0,1247,2,0,512,200.0,0.0,-2.771634817123413,0.3,98.87982177734375,-0.001659583649598062,410,0.0003034342,206.5552230834961,0.0003,-2.4399745583534242
-420.0,1179,3,0,768,200.0,0.005859375,0.000984489917755127,0.3,33.29770278930664,-0.018694679159671067,420,0.012378499,44.987515163421634,0.0003,-2.465099799633026
-412.0,1138,4,0,1024,200.0,0.034375,-0.00027108192443847656,0.3,24.949209213256836,-0.02092120093293488,430,0.025911957,39.959785556793214,0.0003,-2.4390828013420105
-410.0,1126,5,1,1280,200.0,0.27109375,-5.4717063903808594e-05,0.3,2.0914716720581055,-0.03620946255978197,440,0.050881654,8.054536521434784,0.0003,-2.3999285221099855
-407.14285714285717,1118,6,1,1536,200.0,0.03515625,0.0003737211227416992,0.3,1.137396216392517,-0.01699668513610959,450,0.025967224,4.3517701625823975,0.0003,-2.379345512390137
-412.5,1111,7,1,1792,200.0,0.00703125,0.003654658794403076,0.3,11.077620506286621,0.004512981465086341,460,0.0071137873,42.43482494354248,0.0003,-2.3546948790550233
-409.0,1109,8,1,2048,200.0,0.087890625,-0.003778219223022461,0.3,1.4727754592895508,-0.020189089793711902,470,0.018168084,5.664175200462341,0.0003,-2.3421849489212034
-411.8181818181818,1102,9,2,2304,200.0,0.049609375,0.00040143728256225586,0.3,12.779622077941895,-0.008396476227790117,480,0.021880474,45.6395227432251,0.0003,-2.363405430316925
-410.8333333333333,1092,10,2,2560,200.0,0.042578125,-0.0008485317230224609,0.3,2.630253314971924,-0.014807754242792726,490,0.017978597,5.679029881954193,0.0003,-2.310128378868103
-406.42857142857144,1084,11,2,2816,200.0,0.003515625,0.28932613134384155,0.3,9.233211517333984,-0.005610576388426125,500,0.004414212,23.005977201461793,0.0003,-2.3440927863121033
-403.3333333333333,1083,12,2,3072,200.0,0.0,-2.454500675201416,0.3,4.661571025848389,0.0004290838493034244,510,0.000886644,48.52693779468537,0.0003,-2.321935260295868
-400.0,1077,13,3,3328,200.0,0.007421875,-2.4539215564727783,0.3,5.083169937133789,-0.005989039200358093,520,0.013218001,21.85450267791748,0.0003,-2.3694849610328674
-385.88235294117646,1073,14,3,3584,200.0,0.019921875,0.05901944637298584,0.3,8.377604484558105,-0.011066320305690169,530,0.0047528557,27.913791465759278,0.0003,-2.3821316957473755
-384.7368421052632,1068,15,3,3840,200.0,0.001171875,0.030106544494628906,0.3,295.49737548828125,-0.0014916229411028326,540,0.0024517328,537.8860275268555,0.0003,-2.356516969203949
-383.0,1068,16,3,4096,200.0,0.0046875,0.34075140953063965,0.3,2.255136728286743,-0.005087034357711673,550,0.0071344026,7.21442744731903,0.0003,-2.3613184571266173
-381.42857142857144,1070,17,4,4352,200.0,0.005859375,-0.8685153722763062,0.3,29.183603286743164,-0.0037874558474868536,560,0.009833886,47.228856563568115,0.0003,-2.301990234851837
-383.04347826086956,1070,18,4,4608,200.0,0.107421875,0.1253090500831604,0.3,1.9844377040863037,-0.029356396733783187,570,0.07191597,4.691445863246917,0.0003,-2.321805214881897
-381.6666666666667,1072,19,4,4864,200.0,0.255859375,-1.537799835205078e-05,0.3,5.160617828369141,-0.02899214643985033,580,0.044353753,8.03293194770813,0.0003,-2.17698050737381
-384.4,1073,20,4,5120,200.0,0.048046875,0.05662935972213745,0.3,4.0819993019104,-0.0140950336586684,590,0.009344235,11.772669172286987,0.0003,-2.3518826961517334
-386.9230769230769,1074,21,5,5376,200.0,0.008984375,-0.008236527442932129,0.3,37.18915557861328,-0.0023636153899133207,600,0.005080032,81.86183338165283,0.0003,-2.3719183564186097
-387.85714285714283,1075,22,5,5632,200.0,0.146484375,0.0026794075965881348,0.3,2.129033088684082,-0.02087893788702786,610,0.024644382,4.300606745481491,0.0003,-2.288734292984009
-386.55172413793105,1075,23,5,5888,200.0,0.030078125,-0.0003629922866821289,0.3,6.170106410980225,-0.018070533825084566,620,0.019140515,8.351056361198426,0.0003,-2.3235161304473877
