time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/clip_fraction,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/policy_gradient_loss
10,8704,200.0,34,800,607.6744186046511,-2.1591650009155274,730,0.00234375,0.3,17214.4607421875,0.034011662006378174,0.0003,0.007150333,15573.45703125,-0.0028580165468156337
11,8960,200.0,35,801,603.6363636363636,-2.2161833524703978,740,0.0,0.3,9767.025317382813,-0.007047414779663086,0.0003,0.00021195132,4888.01025390625,-0.0006053879391402006
11,9216,200.0,36,803,604.3478260869565,-2.232779693603516,750,0.0,0.3,8922.794458007813,0.07397866249084473,0.0003,0.0004775587,4676.79443359375,-0.002136540017090738
11,9472,200.0,37,805,604.0425531914893,-2.196185886859894,760,0.0,0.3,8551.414593505859,0.07987475395202637,0.0003,0.003318254,2900.953857421875,-0.004165120306424797
12,9728,200.0,38,804,609.1666666666666,-2.267936909198761,770,0.0,0.3,16812.529357910156,0.06665223836898804,0.0003,0.0033462162,10999.4287109375,-0.005971883377060294
12,9984,200.0,39,805,605.7142857142857,-2.3084558844566345,780,0.0,0.3,8870.235131835938,0.0868229866027832,0.0003,0.0015271076,1419.52490234375,-0.004196563386358321
12,10240,200.0,40,807,604.7058823529412,-2.37319837808609,790,0.0,0.3,8545.219354248047,0.08827143907546997,0.0003,0.003791774,2436.383544921875,-0.006931622512638569
0,256,200.0,1,1123,490.0,-2.3578315496444704,800,0.0,0.3,16803.04084472656,0.0774838924407959,0.0003,0.0022765314,11261.630859375,-0.0027072099037468433
0,512,200.0,2,990,510.0,-2.2830785751342773,410,0.0,0.3,17219.869970703126,0.06229609251022339,0.0003,9.899004e-05,5538.77490234375,-0.0006033278768882155
0,768,200.0,3,972,560.0,-2.3529020309448243,420,0.003125,0.3,8576.519924926757,0.0744512677192688,0.0003,0.0024281547,7989.353515625,-0.006259010452777147
1,1024,200.0,4,941,560.0,-2.4138144850730896,430,0.0,0.3,8605.019995117187,0.0760946273803711,0.0003,0.0005913598,4147.4638671875,-0.00012006568722426892
1,1280,200.0,5,916,586.6666666666666,-2.371661925315857,440,0.0,0.3,16594.04970703125,0.06091105937957764,0.0003,0.0007302207,4143.89990234375,-0.003472999110817909
1,1536,200.0,6,909,574.2857142857143,-2.3849935650825502,450,0.0,0.3,8209.056103515624,0.06624644994735718,0.0003,0.0022756911,1269.258544921875,-0.003544007334858179
1,1792,200.0,7,907,547.5,-2.3507998108863832,460,0.0,0.3,7196.51928100586,0.0592961311340332,0.0003,0.001110326,1267.3975830078125,0.002154103433713317
2,2048,200.0,8,903,581.0,-2.311832773685455,470,0.0,0.3,8915.129315185546,0.0837242603302002,0.0003,0.0024894828,8198.8115234375,-0.002737740706652403
2,2304,200.0,9,900,578.1818181818181,-2.350955855846405,480,0.0,0.3,17823.75369873047,0.007947087287902832,0.0003,8.530822e-05,7661.037109375,-3.846632316708565e-05
2,2560,200.0,10,895,562.5,-2.3215945243835447,490,0.0,0.3,8811.002752685547,0.04710531234741211,0.0003,0.0002468205,2634.175048828125,-0.0008279818692244589
3,2816,200.0,11,884,562.8571428571429,-2.3255045413970947,500,0.0,0.3,8296.139033508302,0.04327130317687988,0.0003,0.015907632,6670.009765625,-0.006704305065795779
3,3072,200.0,12,873,558.6666666666666,-2.387272226810455,510,0.0,0.3,16347.96669921875,0.07380557060241699,0.0003,0.0027944532,9814.3232421875,-0.0020227537956088782
3,3328,200.0,13,873,558.125,-2.4267361998558044,520,0.0,0.3,9458.442510986328,0.0018055438995361328,0.0003,0.00020076148,5631.79248046875,-0.0011209470801986754
4,3584,200.0,14,873,560.5882352941177,-2.4014402270317077,530,0.0,0.3,7836.991667175293,0.043173015117645264,0.0003,0.0003998594,1236.776611328125,-0.0013048548484221102
4,3840,200.0,15,872,574.7368421052631,-2.427814984321594,540,0.0,0.3,7056.453973579407,0.06845688819885254,0.0003,0.0031554217,4933.71044921875,-0.004841575853060931
4,4096,200.0,16,874,576.5,-2.38252569437027,550,0.0,0.3,16572.968334960937,0.07548105716705322,0.0003,0.0013034067,6393.1005859375,-0.00013911740388721227
4,4352,200.0,17,873,569.5238095238095,-2.3377774357795715,560,0.0,0.3,8604.90453338623,0.0703040361404419,0.0003,0.002111895,2485.0458984375,-0.0035171437542885543
5,4608,200.0,18,874,582.6086956521739,-2.3102325916290285,570,0.0,0.3,7860.232760620117,0.047541260719299316,0.0003,0.0015128758,1921.0545654296875,-0.003186757047660649
5,4864,200.0,19,875,581.6666666666666,-2.2636083006858825,580,0.0,0.3,9165.170068359375,0.07512599229812622,0.0003,0.0010438615,6577.22265625,-0.0039867103099822995
5,5120,200.0,20,876,586.0,-2.2963149785995483,590,0.0,0.3,17568.098828125,0.02688390016555786,0.0003,0.00059384713,8504.146484375,-0.0015389526262879372
6,5376,200.0,21,872,588.4615384615385,-2.2148471593856813,600,0.0,0.3,9063.834027099609,0.061579346656799316,0.0003,0.0012636515,7790.15185546875,-0.0036258880281820893
6,5632,200.0,22,873,574.6428571428571,-2.211954081058502,610,0.0,0.3,8776.130590820312,0.06725746393203735,0.0003,0.0022954682,6335.3974609375,-0.0033799193101003767
6,5888,200.0,23,872,572.4137931034483,-2.1736529231071473,620,0.0,0.3,16822.205615234376,0.0825536847114563,0.0003,0.00047651771,8403.0810546875,-0.0018946524942293763
7,6144,200.0,24,872,572.3333333333334,-2.177453076839447,630,0.0,0.3,8775.742794799804,0.03569746017456055,0.0003,0.0008901614,8249.8134765625,-0.0010483683552592992
7,6400,200.0,25,872,570.3125,-2.187791848182678,640,0.0,0.3,8468.369812011719,0.09598332643508911,0.0003,0.002204197,3367.50927734375,-0.004667334118857979
7,6656,200.0,26,872,576.3636363636364,-2.0287137269973754,650,0.0,0.3,8345.635943603516,0.05410724878311157,0.0003,0.00034657097,961.9462890625,0.0005559901008382439
7,6912,200.0,27,870,584.7058823529412,-2.1242456674575805,660,0.0,0.3,17440.05471191406,0.06049764156341553,0.0003,0.00047337613,7782.9404296875,-0.0010873096762225032
8,7168,200.0,28,868,584.0,-2.08579478263855,670,0.0,0.3,8822.632623291016,0.0732765793800354,0.0003,0.00034258235,5317.3154296875,-0.0008470809319987893
8,7424,200.0,29,868,584.0540540540541,-2.096548628807068,680,0.0,0.3,7714.119201660156,0.0660744309425354,0.0003,0.0016830091,3722.421875,-0.001514545944519341
8,7680,200.0,30,866,581.8421052631579,-2.0017637968063355,690,0.0,0.3,15158.783837890625,0.08303636312484741,0.0003,0.0008024445,10810.779296875,-0.002459766436368227
9,7936,200.0,31,865,578.7179487179487,-2.031848335266113,700,0.0,0.3,8442.735596466064,0.0564877986907959,0.0003,0.00019036816,84.97443389892578,0.0009001826168969273
9,8192,200.0,32,861,578.5,-2.1907457232475283,710,0.007421875,0.3,7644.399345397949,0.08320283889770508,0.0003,0.007235582,26.70621109008789,-0.005993273085914552
9,8448,200.0,33,859,577.1428571428571,-2.0902956068515777,720,0.018359375,0.3,6958.283450698853,0.08126777410507202,0.0003,0.018556593,3270.365966796875,-0.007989084720611573
10,8704,200.0,34,858,575.1162790697674,-1.859223735332489,730,0.0,0.3,15154.351861572266,0.09300315380096436,0.0003,0.008861898,8120.52880859375,-0.004325418616645038
10,8960,200.0,35,857,579.3181818181819,-1.7447915911674499,740,0.008984375,0.3,8747.772485351563,0.10586047172546387,0.0003,0.011538505,5863.63232421875,-0.009879841888323426
