time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/learning_rate
650,-545.0,12,32,8192,200.0,0.0011611399,-0.001883700373582542,18.678054809570312,0.09143322706222534,62.11491165161133,-1.1961534678936006,0.3,0.0,18710,0.0003
650,-546.4285714285714,12,33,8448,200.0,0.0012563304,-0.0008794626453891396,17.4250431060791,-0.18780231475830078,37.60885162353516,-1.2226720690727233,0.3,0.0,18720,0.0003
650,-543.0232558139535,13,34,8704,200.0,0.0004774672,-0.000332100922241807,103.2364273071289,0.6326141357421875,245.27564163208007,-1.2468298852443696,0.3,0.0,18730,0.0003
650,-544.3181818181819,13,35,8960,200.0,0.00032193796,-0.001289592287503183,40.3880615234375,0.5128695964813232,131.06899604797363,-1.2376040995121003,0.3,0.0,18740,0.0003
649,-540.0,14,36,9216,200.0,0.00032234704,-0.0009604842285625637,54.30370330810547,0.2626378536224365,136.99086265563966,-1.2312994956970216,0.3,0.0,18750,0.0003
647,-537.0212765957447,14,37,9472,200.0,0.0044475067,-0.005198920331895352,27.95203971862793,0.034957289695739746,49.6453896522522,-1.221782737970352,0.3,0.004296875,18760,0.0003
647,-534.1666666666666,15,38,9728,200.0,0.0028924008,0.004211471253074706,8.2293119430542,-0.25546014308929443,37.98168182373047,-1.2367910861968994,0.3,0.0,18770,0.0003
647,-533.469387755102,15,39,9984,200.0,0.002026976,-0.0014065564493648708,25.49584197998047,-0.7782789468765259,60.043658542633054,-1.1669747054576873,0.3,0.0,18780,0.0003
647,-540.9803921568628,15,40,10240,200.0,0.00024153944,-0.0014315702952444553,70.28610229492188,0.3671477437019348,186.31921310424804,-1.165362113714218,0.3,0.0,18790,0.0003
846,14200.0,0,1,256,200.0,2.4479348e-05,0.00024846000596880915,170.74374389648438,0.263818621635437,388.3418884277344,-1.169456994533539,0.3,0.0,18800,0.0003
