time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/loss,train/n_updates
10240,40,909,11,371.3529411764706,200.0,0.010509247,-1.595309180021286,0.0003,0.0109375,0.3,-0.00944501394405961,10982.819540405273,0.20395302772521973,5083.82421875,1590
256,1,1145,0,530.0,200.0,0.0012131601,-1.6908110558986664,0.0003,0.0,0.3,0.0008820320130325854,17687.70068359375,0.18722319602966309,14504.0869140625,1600
512,2,1035,0,480.0,200.0,0.00010105269,-2.330663871765137,0.0003,0.0,0.3,-0.000589401414617896,29411.09345703125,0.11242306232452393,11293.3671875,1610
768,3,1005,0,483.3333333333333,200.0,8.55336e-05,-2.341532588005066,0.0003,0.0,0.3,-0.0005914428504183889,17462.62108154297,0.1839609146118164,7702.33056640625,1620
1024,4,962,1,524.0,200.0,0.0001690872,-2.342377173900604,0.0003,0.0,0.3,-0.0007081288145855069,16733.79073486328,0.17495673894882202,6362.43310546875,1630
1280,5,914,1,500.0,200.0,0.00036694692,-2.364887523651123,0.0003,0.0,0.3,-0.0019206533674150706,30415.276171875,0.1595909595489502,15521.21875,1640
1536,6,890,1,500.0,200.0,0.0001738919,-2.3248122096061707,0.0003,0.0,0.3,-0.00041919457726180553,19270.822552490234,0.03718966245651245,15259.9912109375,1650
1792,7,881,2,506.25,200.0,2.2477703e-05,-2.3327959179878235,0.0003,0.0,0.3,-0.00036228112876415255,14087.036437988281,0.1344050168991089,8025.28515625,1660
2048,8,889,2,510.0,200.0,1.1380063e-05,-2.3400543093681336,0.0003,0.0,0.3,-0.00023989391047507524,18533.53825683594,0.11182475090026855,13357.25390625,1670
2304,9,896,2,505.45454545454544,200.0,2.2591325e-05,-2.3244272112846374,0.0003,0.0,0.3,-0.0004473751410841942,30704.9060546875,0.11869096755981445,12991.740234375,1680
2560,10,900,2,513.3333333333334,200.0,2.7119182e-05,-2.3299750447273255,0.0003,0.0,0.3,-0.00041178821120411155,17182.46794433594,0.1814284324645996,4742.970703125,1690
2816,11,909,3,534.2857142857143,200.0,0.00082420907,-2.3339614987373354,0.0003,0.0,0.3,-0.002716066432185471,16333.959619140625,0.16394329071044922,5945.39111328125,1700
