time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range
30,1069,7,200.0,7680,-409.7368421052632,2.6042074978351595,0.0003,0.03501352,1.3497037887573242,-2.030530858039856,-0.017361711710691452,0.172265625,0.0008605122566223145,690,0.3
31,1072,7,200.0,7936,-409.4871794871795,1.3725451946258544,0.0003,0.0534684,0.8643367886543274,-1.8864091098308564,-0.01301801495719701,0.0953125,-0.0037941932678222656,700,0.3
32,1072,7,200.0,8192,-409.25,1.3720038145780564,0.0003,0.027629992,0.6778126955032349,-1.7355047762393951,-0.010197543585672975,0.062109375,0.00031131505966186523,710,0.3
33,1076,7,200.0,8448,-408.8095238095238,1.3749012410640717,0.0003,0.042105477,0.9175733923912048,-1.7559799611568452,-0.013025640742853284,0.08125,-0.0036058425903320312,720,0.3
34,1075,8,200.0,8704,-408.6046511627907,2.6394439935684204,0.0003,0.005279793,0.7115329504013062,-1.7178963840007782,-0.0004567707655951381,0.007421875,0.0009918808937072754,730,0.3
35,1075,8,200.0,8960,-408.40909090909093,1.3737966001033783,0.0003,0.034339,0.5986946225166321,-1.7983333945274353,-0.014914352260529996,0.037890625,-6.079673767089844e-06,740,0.3
36,1075,8,200.0,9216,-408.04347826086956,1.3711004555225372,0.0003,0.056036316,0.570470929145813,-1.812863951921463,-0.026165339164435863,0.26484375,-0.0013539791107177734,750,0.3
37,1074,8,200.0,9472,-408.93617021276594,2.6376010835170747,0.0003,0.013407011,1.3354716300964355,-1.9831487894058228,-0.007156458403915167,0.04296875,0.006272494792938232,760,0.3
38,1072,9,200.0,9728,-408.9583333333333,33.32310276031494,0.0003,0.007902252,9.89835262298584,-1.9560382068157196,-0.007598643796518445,0.00390625,0.003591179847717285,770,0.3
39,1073,9,200.0,9984,-408.7755102040816,32.702832508087155,0.0003,0.0031703238,11.61645793914795,-2.001304990053177,-0.0013786600902676582,0.001171875,-0.006401181221008301,780,0.3
40,1073,9,200.0,10240,-408.2352941176471,2.7680869102478027,0.0003,0.0015392294,1.7894428968429565,-1.9929525971412658,-0.0013969620689749719,0.0,-0.002522706985473633,790,0.3
1,1389,0,200.0,256,-400.0,2.784831476211548,0.0003,0.010641099,0.7553724646568298,-2.013292944431305,-0.009275843948125839,0.002734375,0.0022269487380981445,800,0.3
2,1174,0,200.0,512,-400.0,19.493480682373047,0.0003,9.1861235e-05,9.618841171264648,-0.49327431321144105,-0.0005100620910525322,0.0,-0.00010097026824951172,410,0.3
3,1152,0,200.0,768,-406.6666666666667,17.4947970867157,0.0003,0.00011988473,7.746130466461182,-0.48053577691316607,-0.00035754186101257803,0.0,-0.00020003318786621094,420,0.3
4,1116,0,200.0,1024,-404.0,45.24613180160522,0.0003,0.00035848678,23.864219665527344,-0.47536383867263793,-0.004784557688981295,0.001171875,-0.0001385211944580078,430,0.3
5,1112,1,200.0,1280,-401.6666666666667,16.288190507888793,0.0003,4.032883e-05,7.177346229553223,-0.46825783103704455,-0.00017437876667827367,0.0,7.569789886474609e-06,440,0.3
6,1100,1,200.0,1536,-401.42857142857144,51.21941986083984,0.0003,0.00041230582,18.3905086517334,-0.461622017621994,-0.004593848646618426,0.00078125,-0.00014770030975341797,450,0.3
7,1099,1,200.0,1792,-407.5,9.220021867752076,0.0003,9.136298e-05,4.20335054397583,-0.4531063839793205,-0.000193773303180933,0.0,-7.867813110351562e-06,460,0.3
