time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate
5,200.0,1280,-221.66666666666666,728,1,0.0,852.6297607421875,0.002584994,440,0.0648769736289978,0.3,-0.0006351747782900929,1429.8700317382813,-2.193626308441162,0.0003
6,200.0,1536,-210.0,726,2,0.0,284.3592529296875,0.0022133514,450,0.3142963647842407,0.3,-0.006421182025223971,683.1082778930664,-2.1539308428764343,0.0003
7,200.0,1792,-231.25,721,2,0.0,246.4937744140625,0.004472281,460,0.386340856552124,0.3,-0.005855963029898703,546.7902816772461,-2.118022882938385,0.0003
8,200.0,2048,-249.0,713,2,0.0,387.3573303222656,0.004355659,470,-0.008959650993347168,0.3,-0.005338780907914042,854.4144653320312,-2.070473623275757,0.0003
9,200.0,2304,-246.36363636363637,674,3,0.0,107.55001068115234,0.00417973,480,-0.09779167175292969,0.3,-0.0045280528254807,282.36274642944335,-2.005413806438446,0.0003
10,200.0,2560,-262.5,667,3,0.0,459.70367431640625,0.0016819332,490,0.20522922277450562,0.3,-0.002555054845288396,1003.9464874267578,-2.0617085695266724,0.0003
11,200.0,2816,-275.7142857142857,658,4,0.00234375,125.26737976074219,0.007822317,500,0.00018459558486938477,0.3,-0.008742488850839437,239.39379196166993,-2.044498956203461,0.0003
12,200.0,3072,-260.0,652,4,0.125390625,543.5380249023438,0.042016253,510,0.0072422027587890625,0.3,-0.01826068302616477,866.6439834594727,-2.136327624320984,0.0003
13,200.0,3328,-261.25,651,5,0.0,421.8336181640625,0.0012079179,520,0.24036020040512085,0.3,-0.0016227492364123464,1447.9750610351562,-2.2132786870002747,0.0003
14,200.0,3584,-254.7058823529412,651,5,0.0,965.5596313476562,0.0033491796,530,0.0474972128868103,0.3,-0.006579381413757801,1618.1048522949218,-2.1934755086898803,0.0003
15,200.0,3840,-257.36842105263156,652,5,0.0,116.19355773925781,0.0006113155,540,0.013111770153045654,0.3,-0.0008427865570411087,228.62229690551757,-2.192599129676819,0.0003
16,200.0,4096,-263.5,654,6,0.023828125,508.3240966796875,0.026603922,550,0.0014835596084594727,0.3,-0.015775297256186604,997.9221405029297,-2.1751694440841676,0.0003
17,200.0,4352,-259.04761904761904,656,6,0.0,33.70899200439453,0.0022728115,560,-0.09987950325012207,0.3,-0.002010573213919997,106.19139652252197,-2.065730798244476,0.0003
18,200.0,4608,-259.1304347826087,649,7,0.006640625,323.45733642578125,0.004915732,570,0.4471989870071411,0.3,-0.007718984608072787,618.2841903686524,-2.0978381395339967,0.0003
19,200.0,4864,-254.58333333333334,652,7,0.0,328.52081298828125,0.00086024334,580,0.07908231019973755,0.3,0.0005018179304897785,723.772200012207,-2.1338437676429747,0.0003
20,200.0,5120,-243.2,655,7,0.007421875,261.2987976074219,0.014337301,590,-0.006735324859619141,0.3,-0.010030577937141062,860.3787231445312,-2.1998929619789123,0.0003
21,200.0,5376,-241.53846153846155,657,8,0.0,1154.537353515625,0.0017267747,600,0.15454155206680298,0.3,0.0074558991473168135,2128.002655029297,-2.258551037311554,0.0003
22,200.0,5632,-247.14285714285714,655,8,0.0203125,157.65679931640625,0.01896998,610,0.1437300443649292,0.3,-0.013327015028335155,344.9587005615234,-2.2728129506111143,0.0003
23,200.0,5888,-247.24137931034483,655,8,0.0,424.7247009277344,0.0047038584,620,0.3392932415008545,0.3,-0.00045886873267591,666.9184509277344,-2.28043851852417,0.0003
24,200.0,6144,-256.3333333333333,656,9,0.0,414.3977355957031,0.0013495183,630,0.0052356719970703125,0.3,-0.004389324784278869,1107.0263122558595,-2.324684751033783,0.0003
25,200.0,6400,-260.9375,655,9,0.0,413.8279113769531,0.0032160778,640,0.1904861330986023,0.3,-0.0036504355957731605,824.8821258544922,-2.3043800354003907,0.0003
26,200.0,6656,-267.8787878787879,652,10,0.0,198.4359130859375,0.004250034,650,-0.4686330556869507,0.3,-0.004808655474334955,461.5912353515625,-2.3573594808578493,0.0003
27,200.0,6912,-264.4117647058824,648,10,0.0,106.88789367675781,0.0006246234,660,-1.509833574295044,0.3,-0.0012927851174026727,360.5127311706543,-2.3529469847679136,0.0003
28,200.0,7168,-267.14285714285717,646,11,0.0,362.64666748046875,0.0034096637,670,-0.27560853958129883,0.3,-0.003697714686859399,833.7509918212891,-2.3534749388694762,0.0003
29,200.0,7424,-254.86486486486487,644,11,0.0,287.8343811035156,0.008009915,680,0.03293144702911377,0.3,-0.01574249940458685,591.7098808288574,-2.349903237819672,0.0003
30,200.0,7680,-253.1578947368421,640,11,0.0,576.4384765625,0.00024519349,690,0.34627723693847656,0.3,0.0010744550032541155,1346.9536376953124,-2.375412130355835,0.0003
31,200.0,7936,-256.4102564102564,641,12,0.1421875,365.6941223144531,0.04372547,700,0.0014014244079589844,0.3,-0.02625172007828951,739.5625793457032,-2.4221603631973267,0.0003
