rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance
-271.0,334,200.0,440,336,112640,0.0031740733,2.744009518623352,0.0015625,4390,-0.007253424916416407,0.3,-1.8366538286209106,0.0003,0.7720405459403992,0.072135329246521
-273.1,334,200.0,441,337,112896,0.0006602956,569.5849983215332,0.0,4400,-0.0006183003541082143,0.3,-1.816215878725052,0.0003,384.9547119140625,0.22732365131378174
-272.6,335,200.0,442,337,113152,2.5098445e-05,306.1911167144775,0.0,4410,-0.0004854125203564763,0.3,-1.8828479647636414,0.0003,38.278968811035156,-7.730254173278809
-275.0,335,200.0,443,338,113408,0.0052851234,1.7649148732423783,0.005859375,4420,-0.0033333754865452645,0.3,-1.8719592332839965,0.0003,0.3196098208427429,-0.44302070140838623
-275.5,335,200.0,444,338,113664,0.042998306,1.1289221495389938,0.13984375,4430,-0.019288878375664353,0.3,-1.8554947555065155,0.0003,0.31459757685661316,9.965896606445312e-05
-275.7,336,200.0,445,338,113920,0.02938274,3.65175162255764,0.041796875,4440,-0.016083390987478196,0.3,-1.6720582604408265,0.0003,2.1459035873413086,2.568960189819336e-05
-276.2,336,200.0,446,339,114176,0.0145024285,430.5308250427246,0.058203125,4450,0.006411322439089417,0.3,-1.631175583600998,0.0003,104.37262725830078,0.17569822072982788
-272.7,336,200.0,447,339,114432,0.0008050825,416.9431915283203,0.00078125,4460,-0.0039632449275814,0.3,-1.7519522964954377,0.0003,124.06922149658203,0.20845401287078857
-272.6,337,200.0,448,340,114688,6.2457984e-05,39.45998058319092,0.0,4470,0.00015231769066303968,0.3,-1.8943001747131347,0.0003,10.344353675842285,-1.639251708984375
-272.5,337,200.0,449,340,114944,0.030635098,1.4270434081554413,0.16640625,4480,-0.028474652394652366,0.3,-1.2862539649009705,0.0003,0.8746919631958008,-5.9604644775390625e-05
-265.4,337,200.0,450,341,115200,0.0066405246,699.7900863647461,0.0046875,4490,-0.004400743287988007,0.3,-1.6340678811073304,0.0003,263.19342041015625,0.17528146505355835
